,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
NDUFB6,510.9101512458066,-0.056235114198068224,0.11785315698591783,-0.47716256090439485,0.6332463686973251,0.841439839041856,NDUFB6
SEC11C,453.7024100731019,0.10491520306112691,0.21993697743186663,0.47702393788524333,0.6333450758900829,0.841439839041856,SEC11C
MMADHC,1785.3243842626127,0.043512838961277576,0.09121857131672943,0.47701732589290563,0.6333497841543854,0.841439839041856,MMADHC
SMPDL3A,82.48493280877086,0.13773278867860897,0.2885571385739673,0.47731547851935474,0.6331374905418079,0.841439839041856,SMPDL3A
NAA30,827.6863494509017,0.051112578313608555,0.10709510030602562,0.4772634617975398,0.633174525832789,0.841439839041856,NAA30
RPS11P5,110.39918177111444,-0.1068417174590375,0.22401978209363027,-0.47692983387682447,0.633412086825105,0.8414405518106685,RPS11P5
MIRLET7A1HG,41.848827255708805,0.17641644295669814,0.3701954356425521,0.4765494816285087,0.6336829641613594,0.841636250440694,MIRLET7A1HG
CCZ1P1,60.91831639407281,0.1434935201062426,0.3010603731104141,0.47662705863191185,0.633627711777131,0.841636250440694,CCZ1P1
EGR1,1628.6766085551844,-0.35426599906767936,0.743546192952394,-0.47645459344092356,0.6337505488039625,0.8416439585061788,EGR1
ZNF254,71.34392615329742,0.14484223841674493,0.3041058578149474,0.47628887998889985,0.6338685864649956,0.841718661995578,ZNF254
KRBOX4,209.36849110439337,0.08551364667041143,0.17977689417623138,0.47566539105177924,0.6343127809695516,0.8419802216845174,KRBOX4
ITGB1,11202.788866777417,0.03556936584159488,0.07474089943236076,0.47590229863081257,0.6341439845087316,0.8419802216845174,ITGB1
PDSS2,302.19157427955236,-0.07691861989637025,0.16168542124162516,-0.4757300893654592,0.6342666815843054,0.8419802216845174,PDSS2
TCN1,27.615337540908683,0.20713187294947485,0.43544772859386355,0.47567563073147656,0.6343054848125642,0.8419802216845174,TCN1
TMBIM4,100.19236735832969,-0.12124957432301821,0.2549699358255171,-0.47554459285738154,0.6343988569096528,0.8420124344972915,TMBIM4
ATG9B,245.84444294065187,-0.07836697868957203,0.16496313404198515,-0.4750575281239908,0.6347459698236815,0.8422269744723885,ATG9B
ENSG00000260671,36.1165302286665,-0.1742393328395655,0.3667744084552783,-0.47505858866598355,0.6347452139275773,0.8422269744723885,ENSG00000260671
TMEM171,97.46551291347343,-0.11357181568008624,0.23899952234196764,-0.475196831220375,0.6346466854854369,0.8422269744723885,TMEM171
ALDH6A1,589.9361769841705,-0.05673407590019007,0.1194863371183718,-0.4748164289611221,0.6349178219526477,0.842372953687273,ALDH6A1
EBAG9,432.6788237483302,-0.07538323781890693,0.15893640282526986,-0.47429812477750055,0.6352873285633418,0.842395083492425,EBAG9
NAP1L4,2647.4538897403413,0.03953400657934824,0.08337137666609412,0.47419160100574564,0.6353632821704573,0.842395083492425,NAP1L4
HACL1,260.32705467289543,-0.0801405420510017,0.1694602330763117,-0.4729165102405627,0.6362727453532637,0.842395083492425,HACL1
ARL4C,299.47529740799513,0.09068620733574945,0.19129354149075514,0.47406831735682065,0.6354511906991338,0.842395083492425,ARL4C
SECISBP2,1383.0453959845818,-0.05608354234226016,0.11819778882197556,-0.47448892996408576,0.6351512901932761,0.842395083492425,SECISBP2
ZBTB6,531.9096821604429,0.05607389462117564,0.11847465773828246,0.47329864201883737,0.6360001308362462,0.842395083492425,ZBTB6
DOCK4,66.75694993754392,0.1365584926794831,0.2878635031018763,0.47438626713006543,0.6352244841816969,0.842395083492425,DOCK4
MFSD11,368.2858106147316,0.08231620640538721,0.17368097119404496,0.4739506339668004,0.6355351107053686,0.842395083492425,MFSD11
PEX1,574.2801816269811,0.05452825769497903,0.11530395288524328,0.4729088320957088,0.6362782234811313,0.842395083492425,PEX1
NUP214,1298.2866443906476,0.05004039884011273,0.1056065996734813,0.4738377998612741,0.635615577083149,0.842395083492425,NUP214
ZNF574,948.2767924957667,0.05154987043248727,0.10885941563414256,0.47354535326312386,0.6358241521208026,0.842395083492425,ZNF574
SH3BP2,2575.408408152917,0.051131002921880706,0.10816171159012132,0.47272738356472743,0.6364076873972591,0.842395083492425,SH3BP2
CYP27B1,185.96088732861938,0.07867987963380522,0.16628398129331573,0.4731657194027504,0.6360949528337299,0.842395083492425,CYP27B1
ITGB1BP1,752.1563639811176,-0.059370221471737164,0.12563986036331662,-0.4725428801023376,0.6365393424008488,0.842395083492425,ITGB1BP1
UQCC6,179.482471325283,0.09144323661133041,0.19284707919119365,0.47417485914148166,0.6353752198077202,0.842395083492425,UQCC6
SNX2,1021.5921213307774,-0.046274464397437515,0.0977886576752776,-0.47320891295081535,0.6360641395260884,0.842395083492425,SNX2
NUDT12,370.2696875863672,-0.07576619708108705,0.16033856868007013,-0.47253881399095143,0.6365422439602895,0.842395083492425,NUDT12
TCF25,4420.822857936959,-0.03911176692698559,0.08245202209115704,-0.4743578863808159,0.6352447190098498,0.842395083492425,TCF25
GARIN5A,109.74652512842665,0.10530324013591835,0.22226401635998508,0.47377547594283664,0.6356600245316091,0.842395083492425,GARIN5A
EXOC8,863.5252412693544,0.05394010260580285,0.11412401693156847,0.4726446199150758,0.6364667431270108,0.842395083492425,EXOC8
CENPP,73.30777594090655,0.14826622776855503,0.3134861384234973,0.47295943774157556,0.6362421182252236,0.842395083492425,CENPP
CRYBG1,1059.2026309299172,-0.04429677242018931,0.09359215612892922,-0.47329577875273704,0.6360021733197863,0.842395083492425,CRYBG1
NIN,1488.9646546935526,0.04897816806286192,0.10341221067808193,0.4736207430603045,0.6357703808058655,0.842395083492425,NIN
LRRC49,65.39654722025956,-0.1284081756025019,0.27168578661954945,-0.47263486691821704,0.6364737024979763,0.842395083492425,LRRC49
MAPK8IP1,271.27706352837623,-0.07262641589848033,0.1535469434209149,-0.47299160947405583,0.6362191653337645,0.842395083492425,MAPK8IP1
CALCOCO2,2220.326389574684,-0.04604154247915555,0.09743150849061998,-0.4725529060610625,0.6365321879440304,0.842395083492425,CALCOCO2
TLK2P1,37.22382171742829,0.1701062600780212,0.3601383355490417,0.47233588676053917,0.6366870590325755,0.8425048863721005,TLK2P1
KIF13B,937.8248866869191,-0.05591445031419039,0.11861706634280654,-0.47138621817366577,0.6373649559651506,0.8429148481502343,KIF13B
BIRC2,1641.20408795036,-0.03976556768025471,0.08433939941619749,-0.4714945559906095,0.6372876064036737,0.8429148481502343,BIRC2
GOLGA2P7,127.10872822922879,-0.10262033997673031,0.21752424624643643,-0.47176506411368146,0.6370944899422859,0.8429148481502343,GOLGA2P7
MOK,242.29446038991625,-0.08666575216246425,0.18385468787331907,-0.4713817915928221,0.6373681164791576,0.8429148481502343,MOK
CDKN2B-AS1,30.29208045496544,-0.1974575605463772,0.41876257310521076,-0.4715262853654487,0.6372649534440342,0.8429148481502343,CDKN2B-AS1
