Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Regulation Of Insulin Secretion R-HSA-422356,1/77,0.2445825073739292,0.41179719393704695,5.425098039215686,7.63963702042034,RAPGEF4
ABC Transporter Disorders R-HSA-5619084,1/77,0.2445825073739292,0.41179719393704695,5.425098039215686,7.63963702042034,ABCA12
Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,1/78,0.24733950552219952,0.41179719393704695,5.35458064516129,7.480313659632066,PIK3R3
Cytokine Signaling In Immune System R-HSA-1280215,4/702,0.2479241614086201,0.41179719393704695,1.821325199962653,2.54007909902526,PIK3R3;PTAFR;FOS;CDKN1A
COPI-mediated Anterograde Transport R-HSA-6807878,1/80,0.25282414114005236,0.41179719393704695,5.218867924528302,7.176262406066311,ANK1
PIP3 Activates AKT Signaling R-HSA-1257604,2/268,0.253347640425112,0.41179719393704695,2.6177748078850653,3.5941855983356836,PIK3R3;CDKN1A
Signaling By NOTCH4 R-HSA-9013694,1/81,0.2555518462641449,0.41179719393704695,5.153540372670808,7.03112957753049,ACTA2
Mitochondrial Translation Termination R-HSA-5419276,1/82,0.2582698545118352,0.41179719393704695,5.089815950920245,6.890339834683076,MRPL53
PI Metabolism R-HSA-1483255,1/82,0.2582698545118352,0.41179719393704695,5.089815950920245,6.890339834683076,PIK3R3
Mitochondrial Translation Elongation R-HSA-5389840,1/82,0.2582698545118352,0.41179719393704695,5.089815950920245,6.890339834683076,MRPL53
Mitochondrial Translation Initiation R-HSA-5368286,1/82,0.2582698545118352,0.41179719393704695,5.089815950920245,6.890339834683076,MRPL53
Cyclin E Associated Events During G1/S Transition R-HSA-69202,1/82,0.2582698545118352,0.41179719393704695,5.089815950920245,6.890339834683076,CDKN1A
Platelet Homeostasis R-HSA-418346,1/83,0.26097819942665706,0.41179719393704695,5.027636363636364,6.753716447088757,NANOS1
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,1/84,0.26367691443932173,0.41179719393704695,4.966946107784431,6.621091817007667,CDKN1A
Cellular Responses To Stress R-HSA-2262752,4/722,0.2640832864769457,0.41179719393704695,1.7669964600163384,2.352739435626873,CDKN1A;DDIT3;FOS;NR1D1
Gene Expression (Transcription) R-HSA-74160,7/1449,0.26573313633302664,0.41179719393704695,1.487084261780969,1.9707773346151576,NR1D1;FOS;DDIT3;CDKN1A;THBS1;IGFBP3;TP53I3
Signaling By Receptor Tyrosine Kinases R-HSA-9006934,3/496,0.2670410251701621,0.41179719393704695,1.9895115373089602,2.6268574871545955,PIK3R3;FOS;THBS1
Cell Junction Organization R-HSA-446728,1/86,0.2690455879191266,0.41179719393704695,4.8498245614035085,6.367210714465983,COL17A1
RAC2 GTPase Cycle R-HSA-9013404,1/87,0.27171561268689254,0.41179719393704695,4.793294797687861,6.245659772016638,PIK3R3
Mitochondrial Translation R-HSA-5368287,1/88,0.2743761401544854,0.41179719393704695,4.7380571428571425,6.1275176998074965,MRPL53
Cellular Responses To Stimuli R-HSA-8953897,4/736,0.2755279340952136,0.41179719393704695,1.730731562546372,2.2310276647393747,CDKN1A;DDIT3;FOS;NR1D1
Mitochondrial Biogenesis R-HSA-1592230,1/89,0.2770272031940134,0.41179719393704695,4.68406779661017,6.012654777632095,NR1D1
Peptide Hormone Metabolism R-HSA-2980736,1/89,0.2770272031940134,0.41179719393704695,4.68406779661017,6.012654777632095,PLA2G7
Sphingolipid Metabolism R-HSA-428157,1/89,0.2770272031940134,0.41179719393704695,4.68406779661017,6.012654777632095,ACER2
Interferon Gamma Signaling R-HSA-877300,1/89,0.2770272031940134,0.41179719393704695,4.68406779661017,6.012654777632095,PTAFR
Unfolded Protein Response (UPR) R-HSA-381119,1/89,0.2770272031940134,0.41179719393704695,4.68406779661017,6.012654777632095,DDIT3
Class B/2 (Secretin Family Receptors) R-HSA-373080,1/92,0.2849239328080588,0.4212585028076138,4.529180327868852,5.686535531110653,VIPR1
